Iteration,All with BEV100,LFLM with BEV100,All with BEV250
656,48.09,76.42,89.57
657,46.79,73.99,88.60
658,35.10,70.10,78.57
659,19.15,54.15,67.41
660,37.05,72.05,79.93
661,41.83,64.68,84.87
662,39.76,74.76,81.83
663,49.36,78.80,90.52
664,20.29,55.29,68.21
665,48.20,76.63,89.65
666,26.78,61.78,72.74
667,16.61,51.61,65.63
668,53.79,87.11,93.84
669,40.93,63.00,84.20
670,51.90,86.90,90.33
671,18.42,53.42,66.90
672,41.82,76.82,83.27
673,24.73,59.73,71.31
674,15.43,50.43,64.80
675,35.73,70.73,79.01
676,45.13,70.87,87.35
677,40.17,61.56,83.63
678,38.99,59.35,82.74
679,48.85,77.85,90.14
680,36.99,55.61,81.24
681,40.78,75.78,82.54
682,18.01,53.01,66.61
683,40.15,61.54,83.61
684,31.43,66.43,76.00
685,19.34,54.34,67.54
686,25.71,60.71,72.00
687,49.71,79.45,90.78
688,55.03,89.43,94.77
689,49.45,78.98,90.59
690,19.59,54.59,67.71
691,39.69,60.67,83.27
692,29.25,64.25,74.47
693,10.33,45.33,61.23
694,22.44,57.44,69.71
695,68.68,70.85,81.88
696,31.45,66.45,76.02
697,5.58,40.58,57.90
698,42.03,65.07,85.03
699,36.55,71.55,79.59
700,55.71,90.71,95.28
701,22.92,57.92,70.05
702,49.72,84.72,88.80
703,29.10,64.10,74.37
704,29.86,64.86,74.90
705,18.77,53.77,67.14
706,43.83,68.43,86.37
707,44.25,69.23,86.69
708,25.78,60.78,72.05
709,43.61,78.61,84.53
710,47.54,82.54,87.28
711,45.68,80.68,85.98
712,43.90,68.56,86.42
713,44.70,70.07,87.03
714,17.76,52.76,66.43
715,47.97,76.19,89.47
716,58.07,95.13,97.05
717,50.58,81.08,91.43
718,37.57,56.69,81.68
719,36.08,53.89,80.56
720,40.96,75.96,82.67
721,56.76,92.68,96.07
722,22.21,57.21,69.55
723,47.44,82.44,87.20
724,29.22,64.22,74.45
725,51.04,81.95,91.78
726,30.71,65.71,75.49
727,55.62,90.54,95.21
728,38.64,73.64,81.05
729,57.14,93.39,96.36
730,46.25,72.96,88.18
731,25.12,60.12,71.58
732,39.36,74.36,81.55
733,19.38,54.38,67.56
734,46.19,72.86,88.14
735,34.24,69.24,77.97
736,55.97,91.19,95.47
737,42.67,66.26,85.50
738,28.01,63.01,73.61
739,46.97,74.31,88.73
740,48.26,76.73,89.69
741,49.72,79.48,90.79
742,16.65,51.65,65.65
743,42.83,77.83,83.98
744,51.86,83.48,92.39
745,49.45,78.97,90.59
746,46.78,73.96,88.58
747,50.36,80.67,91.27
748,21.88,56.88,69.32
749,45.96,72.42,87.97
750,47.72,82.72,87.40
751,41.96,64.93,84.97
752,21.54,56.54,69.08
753,17.50,52.50,66.25
754,48.17,76.57,89.63
755,44.22,69.15,86.66
756,62.39,70.85,81.88
757,59.77,98.33,81.88
758,46.88,74.16,88.66
759,38.17,73.17,80.72
760,53.73,86.99,93.80
761,29.89,64.89,74.92
