vmt,type,num_drivers,cum_frequency
210,90th%_vmt,5810,1520089
210,95th%_vmt,7050,1357878
210,99th%_vmt,7085,1114095
210,avg_total_vmt,840,1806408
211,90th%_vmt,5693,1525782
211,95th%_vmt,6948,1364826
211,99th%_vmt,7075,1121170
211,avg_total_vmt,774,1807182
212,90th%_vmt,5583,1531365
212,95th%_vmt,6779,1371605
212,99th%_vmt,7021,1128191
212,avg_total_vmt,766,1807948
213,90th%_vmt,5511,1536876
213,95th%_vmt,7009,1378614
213,99th%_vmt,7030,1135221
213,avg_total_vmt,764,1808712
214,90th%_vmt,5303,1542179
214,95th%_vmt,6663,1385277
214,99th%_vmt,6936,1142157
214,avg_total_vmt,692,1809404
215,90th%_vmt,5266,1547445
215,95th%_vmt,6586,1391863
215,99th%_vmt,7013,1149170
215,avg_total_vmt,653,1810057
216,90th%_vmt,5211,1552656
216,95th%_vmt,6622,1398485
216,99th%_vmt,6858,1156028
216,avg_total_vmt,678,1810735
217,90th%_vmt,5200,1557856
217,95th%_vmt,6465,1404950
217,99th%_vmt,6994,1163022
217,avg_total_vmt,652,1811387
218,90th%_vmt,5149,1563005
218,95th%_vmt,6435,1411385
218,99th%_vmt,6718,1169740
218,avg_total_vmt,591,1811978
219,90th%_vmt,5050,1568055
219,95th%_vmt,6511,1417896
219,99th%_vmt,6873,1176613
219,avg_total_vmt,628,1812606
220,90th%_vmt,5048,1573103
220,95th%_vmt,6267,1424163
220,99th%_vmt,6710,1183323
220,avg_total_vmt,589,1813195
221,90th%_vmt,4847,1577950
221,95th%_vmt,6349,1430512
221,99th%_vmt,6833,1190156
221,avg_total_vmt,532,1813727
222,90th%_vmt,4767,1582717
222,95th%_vmt,6170,1436682
222,99th%_vmt,6740,1196896
222,avg_total_vmt,517,1814244
223,90th%_vmt,4740,1587457
223,95th%_vmt,5991,1442673
223,99th%_vmt,6565,1203461
223,avg_total_vmt,505,1814749
224,90th%_vmt,4559,1592016
224,95th%_vmt,5986,1448659
224,99th%_vmt,6603,1210064
224,avg_total_vmt,477,1815226
225,90th%_vmt,4524,1596540
225,95th%_vmt,6082,1454741
225,99th%_vmt,6462,1216526
225,avg_total_vmt,486,1815712
226,90th%_vmt,4447,1600987
226,95th%_vmt,5892,1460633
226,99th%_vmt,6395,1222921
226,avg_total_vmt,425,1816137
227,90th%_vmt,4338,1605325
227,95th%_vmt,5812,1466445
227,99th%_vmt,6442,1229363
227,avg_total_vmt,445,1816582
228,90th%_vmt,4298,1609623
228,95th%_vmt,5787,1472232
228,99th%_vmt,6361,1235724
228,avg_total_vmt,436,1817018
229,90th%_vmt,4314,1613937
229,95th%_vmt,5690,1477922
229,99th%_vmt,6290,1242014
229,avg_total_vmt,396,1817414
230,90th%_vmt,4276,1618213
230,95th%_vmt,5564,1483486
230,99th%_vmt,6278,1248292
230,avg_total_vmt,409,1817823
231,90th%_vmt,4151,1622364
231,95th%_vmt,5605,1489091
231,99th%_vmt,6226,1254518
231,avg_total_vmt,394,1818217
232,90th%_vmt,4127,1626491
232,95th%_vmt,5402,1494493
232,99th%_vmt,6401,1260919
232,avg_total_vmt,379,1818596
233,90th%_vmt,4037,1630528
233,95th%_vmt,5402,1499895
233,99th%_vmt,6277,1267196
233,avg_total_vmt,369,1818965
234,90th%_vmt,4047,1634575
234,95th%_vmt,5479,1505374
234,99th%_vmt,6196,1273392
234,avg_total_vmt,369,1819334
235,90th%_vmt,3849,1638424
235,95th%_vmt,5142,1510516
235,99th%_vmt,5954,1279346
235,avg_total_vmt,339,1819673
236,90th%_vmt,3822,1642246
236,95th%_vmt,5201,1515717
236,99th%_vmt,6070,1285416
236,avg_total_vmt,319,1819992
237,90th%_vmt,3795,1646041
237,95th%_vmt,5116,1520833
237,99th%_vmt,5910,1291326
237,avg_total_vmt,313,1820305
238,90th%_vmt,3618,1649659
238,95th%_vmt,4964,1525797
238,99th%_vmt,6130,1297456
238,avg_total_vmt,321,1820626
239,90th%_vmt,3679,1653338
239,95th%_vmt,5024,1530821
239,99th%_vmt,5964,1303420
239,avg_total_vmt,307,1820933
240,90th%_vmt,3555,1656893
240,95th%_vmt,4967,1535788
